n,s1,s2,t,x,y,frame,particle
2,"(1, 4)","(0, 1)",550.053,188.02936961853317,100.9009976270353,78579,4661
2,"(4,)","(1,)",550.053,140.95732681265198,59.289615393935854,78579,4660
2,"(1, 4)","(0, 1)",550.06,188.02945982101937,100.90123489823713,78579,4662
2,"(4,)","(1,)",550.06,140.97624178900773,59.28531427034947,78579,4659
2,"(1, 4)","(0, 1)",550.067,188.0295485381667,100.90146826236106,78581,4664
2,"(4,)","(1,)",550.067,140.9758034665158,59.28527528262797,78581,4663
2,"(1, 4)","(0, 1)",550.0740000000001,188.02963576991863,100.90169771925864,78582,4664
2,"(4,)","(1,)",550.0740000000001,140.97537340455872,59.28523702966099,78582,4663
2,"(1, 4)","(0, 1)",550.081,188.02972151621796,100.90192326877899,78583,4664
2,"(4,)","(1,)",550.081,140.97495159523442,59.28519951074563,78583,4663
2,"(1, 4)","(0, 1)",550.0880000000001,188.02980577700646,100.90214491076927,78584,4664
2,"(4,)","(1,)",550.0880000000001,140.97453803063033,59.285162725178154,78584,4663
2,"(1, 4)","(0, 1)",550.095,188.02988855222532,100.90236264507456,78585,4664
2,"(4,)","(1,)",550.095,140.97413270282394,59.28512667225382,78585,4663
2,"(4,)","(1,)",550.102,140.9737356038827,59.28509135126706,78586,4663
2,"(1, 4)","(0, 1)",550.102,188.0299698418151,100.90257647153857,78586,4664
2,"(1, 4)","(0, 1)",550.109,188.03004964571568,100.90278639000336,78587,4664
2,"(4,)","(1,)",550.109,140.9733467258642,59.2850567615114,78587,4663
2,"(1, 4)","(0, 1)",550.116,188.03012796386682,100.90299240030993,78588,4664
2,"(4,)","(1,)",550.116,140.97296606081665,59.28502290227961,78588,4663
2,"(1, 4)","(0, 1)",550.123,188.03020479620747,100.90319450229838,78589,4664
2,"(4,)","(1,)",550.123,140.97259360077913,59.28498977286353,78589,4663
2,"(4,)","(1,)",550.13,140.97222933778187,59.28495737255425,78590,4663
2,"(1, 4)","(0, 1)",550.13,188.0302801426767,100.90339269580795,78590,4664
2,"(1, 4)","(0, 1)",550.137,188.03035400321323,100.90358698067766,78590,4666
2,"(4,)","(1,)",550.137,140.97187326384613,59.284925700642155,78590,4665
2,"(1, 4)","(0, 1)",550.144,188.0304263777557,100.90377735674608,78592,4669
2,"(4,)","(1,)",550.144,140.97152537098538,59.28489475641679,78592,4668
2,"(1, 4)","(0, 1)",550.151,188.03049726624283,100.90396382385195,78592,4670
2,"(4,)","(1,)",550.151,140.97118565120454,59.28486453916705,78592,4667
2,"(1, 4)","(0, 1)",550.158,188.0306202194788,100.9040142610978,78594,4672
2,"(4,)","(1,)",550.158,140.9708540965011,59.28483504818111,78594,4671
2,"(4,)","(1,)",550.165,140.97053069886502,59.28480628274654,78595,4671
2,"(1, 4)","(0, 1)",550.165,188.03068817472862,100.9041929467096,78595,4672
2,"(1, 4)","(0, 1)",550.172,188.03075464346333,100.90436772358909,78596,4672
2,"(4,)","(1,)",550.172,140.97021545027917,59.28477824215018,78596,4671
2,"(1, 4)","(0, 1)",550.179,188.03081962562183,100.90453859157631,78597,4672
2,"(4,)","(1,)",550.179,140.96990834271975,59.284750925678345,78597,4671
2,"(1, 4)","(0, 1)",550.186,188.030883121144,100.90470555051238,78598,4672
2,"(4,)","(1,)",550.186,140.96960936815643,59.28472433261679,78598,4671
2,"(4,)","(1,)",550.193,140.96931851855268,59.28469846225065,78599,4671
2,"(1, 4)","(0, 1)",550.193,188.03094512996967,100.90486860023995,78599,4672
2,"(1, 4)","(0, 1)",550.2,188.03100565204,100.90502774060312,78600,4672
2,"(4,)","(1,)",550.2,140.96903578586642,59.284673313864616,78600,4671
2,"(1, 4)","(0, 1)",550.207,188.03106468729604,100.90518297144808,78601,4672
2,"(4,)","(1,)",550.207,140.9687611620501,59.28464888674287,78601,4671
2,"(1, 4)","(0, 1)",550.214,188.03112223568024,100.90533429262292,78602,4672
2,"(4,)","(1,)",550.214,140.9684946390509,59.28462518016915,78602,4671
