s1,s2,t,x,y
"([0], [4], [4], [4], [4], [4], [4], [4], [5], [5])","([0], [2], [2], [2], [2], [8], [8], [8], [6], [6])",20.307,"(57.15856104043169, 10.512710851440957, 25.67961618861188, 35.00044526955118, 44.11858757706675, 186.47611595826936, 195.75066208042307, 199.16948344539756, 191.49896371589546, 130.95195048534512)","(10.504030738273862, 164.09861924545157, 162.5885387128509, 166.7505677733821, 156.91091828682946, 79.33543367608196, 37.789560422701925, 16.754147257391182, 116.64271269168876, 181.9538708836571)"
"([0], [4], [4], [4], [4], [4], [4], [4], [5], [5])","([0], [3], [3], [3], [3], [10], [10], [10], [6], [6])",21.007,"(57.002650509220686, 12.782149939113694, 23.164048232544644, 36.56479250228833, 44.7542693353797, 188.20430174107148, 195.75066208042307, 199.2841491703968, 190.73130248396674, 131.36142742735692)","(11.122720968016978, 163.08056816130178, 162.11502762680897, 167.72538464133228, 157.1434178733274, 78.47771987421672, 37.78996849728033, 17.19880359564666, 116.41420315110352, 181.61321742429104)"
"([0], [4], [4], [4], [4], [4], [4], [4], [5], [5])","([0], [3], [3], [3], [3], [10], [10], [10], [6], [6])",21.707,"(56.774911723129875, 15.491616388464912, 20.402086310196555, 37.46405275054557, 44.80910191029472, 190.55067570440858, 195.75064227584204, 199.3783953613223, 190.0100841821908, 131.84440539075996)","(12.185274817908045, 162.32532257258123, 161.90549082966166, 168.3046550026783, 157.15223050364906, 76.71143092722593, 37.78999891400637, 17.61889260899883, 116.17702784302735, 181.19193753032414)"
"([0], [4], [4], [4], [4], [4], [5], [5])","([0], [3], [3], [10], [10], [10], [6], [6])",22.407,"(56.668508994042185, 38.064389167361654, 45.7521820382611, 191.55934899773598, 195.74989841673576, 199.39997729484125, 189.3240198123346, 132.4255563180206)","(12.731222647809428, 168.6992974229304, 157.33979788329853, 75.74598875083036, 37.78605512837505, 17.750734507533526, 115.93503256819542, 180.67580686891728)"
"([1], [4], [4], [4], [5], [5], [6], [6])","([0], [3], [3], [9], [6], [6], [9], [9])",23.107,"(56.521979795004825, 39.157926013237045, 45.890980543948615, 192.57484124944304, 188.57316664394403, 132.92244263084604, 195.65634817734406, 199.49574449125436)","(13.485937153529374, 169.43168252284477, 157.34794172283992, 74.66867412524581, 115.66468880183555, 180.21491869806584, 37.73687656126313, 18.28878293966843)"
"([1], [4], [4], [4], [5], [5], [6], [6])","([0], [5], [5], [8], [7], [7], [8], [8])",23.807,"(56.29651755111176, 39.60442796959801, 46.25813728813911, 192.74898130192344, 187.75497439877063, 133.4422663903187, 195.3402162683957, 199.4885733483204)","(14.656027967447496, 169.74353918714556, 157.3658021051746, 74.49194081561939, 115.35483010620096, 179.70400157856733, 37.610248824634446, 18.28562985018955)"
"([1], [4], [4], [4], [5], [5], [6], [6])","([0], [5], [5], [8], [7], [7], [8], [8])",24.507,"(55.98703863318829, 40.42372283298403, 46.91213852836109, 192.75066208042307, 186.90922524902294, 133.71932482147878, 195.3029163846668, 199.5603242362754)","(16.16020468227776, 170.30231594977556, 157.3726130171869, 74.49634377490504, 115.02001732953781, 179.41566117720777, 37.57674018722454, 18.821058765790326)"
"([1], [2], [2], [4], [5], [5], [6], [6])","([0], [5], [5], [8], [7], [7], [8], [8])",25.207,"(55.426770644328485, 40.87958392072281, 47.37663980005544, 192.89284270376783, 185.75185515801965, 134.12763528791152, 194.89338648671392, 199.60577268680328)","(18.428309672276768, 170.61846892314324, 157.33786974359901, 74.3557971111548, 114.56952348671152, 178.97246612240008, 37.45347009207781, 19.33967451216132)"
"([1], [2], [2], [4], [5], [5], [6], [6])","([0], [4], [4], [7], [6], [6], [7], [7])",25.907,"(54.5084627827445, 41.68069807231776, 47.7870360146785, 193.13148763060667, 184.94245259073912, 134.6179099505575, 194.744424489188, 199.6148220685094)","(20.69250530446241, 171.17714304323, 157.29472881681812, 74.13835597081284, 114.25158195278217, 178.41221455575456, 37.395103033198524, 19.556853035422698)"
"([1], [2], [2], [4], [5], [5], [6], [6])","([0], [3], [3], [6], [5], [5], [6], [6])",26.607,"(53.018434000713796, 42.133992636674, 48.34187534584882, 193.13570217857114, 183.48312285828888, 134.83010220579723, 194.59846463482137, 199.63498469052783)","(22.844476576103013, 171.4916355249044, 157.21253185017545, 74.14793730124701, 113.71667379442069, 178.153186355639, 37.342662563362786, 20.287551135889572)"
"([1], [2], [2], [4], [5], [5], [6], [6])","([0], [2], [2], [5], [4], [4], [5], [5])",27.307,"(51.733335306502596, 42.53310701629635, 48.97487677366567, 193.1398741064934, 182.01137163898517, 135.53520504681967, 194.2158694519796, 199.62632865732078)","(23.867042707796514, 171.7760018870765, 157.09560737601538, 74.15742142254078, 113.23395436810257, 177.24933228904527, 37.29289938453391, 20.573072459153355)"
"([1], [2], [2], [4], [5], [5], [6], [6])","([0], [2], [2], [5], [3], [3], [5], [5])",28.007,"(50.49211144289615, 43.348556837807294, 49.36787920522664, 193.14412265165063, 180.3016619994391, 135.547979844093, 194.2095608622759, 199.5797278818924)","(24.486543161263533, 172.3416238450597, 156.99390441937507, 74.16708035897629, 112.79918764233824, 177.22264232703387, 37.28014319529753, 21.4386794849372)"
"([1], [2], [2], [4], [5], [5], [6], [6])","([0], [1], [1], [4], [2], [2], [4], [4])",28.707,"(49.70456636293983, 43.79575376396241, 49.93252811177197, 192.88974271937056, 178.0328136905255, 136.22527906650774, 194.20365745218658, 199.51024184618703)","(24.77109360072017, 172.65659270597453, 156.84173233043876, 74.34328092447171, 112.47722412800256, 176.24933791957693, 37.26820629342623, 22.108802641953545)"
"([1], [2], [2], [4], [5], [5], [6], [6])","([0], [1], [1], [4], [2], [2], [4], [4])",29.407,"(48.21680238742471, 44.602226754348024, 50.52717936974335, 193.56800018558252, 174.563719117028, 136.80348077098125, 194.56215973389834, 199.38949362055112)","(25.032949093950997, 173.2170590218288, 156.66314862970535, 73.96134576054357, 112.70145264376899, 175.31760193331954, 37.197448678793464, 22.912135042939568)"
"([1], [2], [2], [4], [5], [5], [6], [6])","([0], [1], [1], [4], [2], [2], [4], [4])",30.107,"(47.4695631026052, 45.057978070385225, 51.05168993395879, 193.71120105923146, 169.539638414598, 136.86366124577125, 194.63541974955433, 199.2171789680314)","(25.016127004958918, 173.53259619416002, 156.49277618813332, 73.93126645999735, 114.62568155227424, 175.2020881323283, 37.156459623558426, 23.945347034122612)"
"([1], [2], [2], [4], [5], [5], [6], [6])","([0], [1], [1], [4], [2], [2], [4], [4])",30.807,"(46.395474653177814, 45.56594972089522, 51.32989615672505, 193.70943164613428, 166.84541346238626, 137.39870709646834, 199.09723435952912, 194.62890933001142)","(24.867972994887097, 173.8871802862246, 156.3920544962432, 73.97426423229378, 116.3001345471448, 174.22527626836276, 24.654130880979643, 37.142235557472226)"
"([1], [2], [2], [4], [5], [5], [6], [6])","([0], [1], [1], [4], [2], [2], [4], [4])",31.507,"(45.84560804265101, 46.28916730440117, 51.66819476665022, 193.70606179565974, 163.1968758170985, 137.72251334557404, 198.88135735027038, 195.0244976115494)","(24.76194342946099, 174.37104023585647, 156.2668008857398, 74.01195313934791, 118.94936533713394, 173.57062184688095, 25.892127776740473, 36.99645442579431)"
"([1], [2], [2], [4], [5], [5], [6], [6])","([0], [1], [1], [4], [2], [2], [4], [4])",32.207,"(45.2632032889958, 46.90770778435806, 52.2178306525948, 193.74639395772653, 161.21194713469762, 138.02849338793555, 198.63280675535117, 195.3666380138302)","(24.622050411044462, 174.78932659658443, 156.0510327631234, 74.02979460551317, 120.47195399367283, 172.91128523129797, 27.332240218995224, 36.74883407160062)"
"([1], [2], [2], [4], [5], [5], [6], [6])","([0], [1], [1], [5], [3], [3], [5], [5])",32.907,"(44.67382777019675, 47.601333716296416, 52.74100221680771, 193.7492946048806, 158.61820903634413, 138.51707413566544, 198.32702273672726, 195.7563023949173)","(24.484064537150168, 175.24551695137134, 155.82679691507414, 74.05280079071188, 122.52256174312978, 171.6945657945454, 29.19606431359793, 36.44736100845878)"
"([1], [4], [4], [5], [6], [6], [7], [7])","([0], [1], [1], [5], [3], [3], [5], [5])",33.607,"(44.1484296214223, 53.215355835698766, 48.288237604953984, 193.7962597101221, 156.17227518556768, 138.7356280803205, 198.19439796961865, 196.1379204898818)","(24.372680964586216, 155.6068407975686, 175.69069381778633, 74.0591399678858, 124.54926204759042, 171.06978888543136, 29.996062121523934, 36.08107685724448)"
"([1], [4], [4], [5], [6], [6], [7], [7])","([1], [2], [2], [7], [4], [4], [6], [6])",34.307,"(43.62836057023901, 53.43141209048224, 48.92166374539384, 194.05604614056853, 153.43411696647956, 139.03541823996198, 197.7013823697712, 196.93616410401287)","(24.288042174631236, 155.4948214901688, 176.10218040214735, 74.04321205561702, 127.05121855498635, 170.09545248912875, 32.52800386632517, 34.86053268480326)"
"([1], [4], [4], [5], [6], [6])","([1], [2], [2], [7], [4], [4])",35.007,"(43.29972152441272, 53.76841048076549, 49.70667912299483, 194.05640956197502, 151.35923437674955, 139.34419069800214)","(24.257004389328458, 155.31952828460712, 176.58741738103888, 74.05295712749411, 129.20657490490166, 168.80130991567006)"
"([1], [4], [4], [6], [7], [7])","([0], [1], [1], [6], [3], [3])",35.707,"(43.09202744806506, 54.20804225902529, 50.31258987334721, 194.51114623319336, 150.1741247438678, 139.39329548866158)","(24.24900335388923, 155.0733504837297, 176.973984991494, 74.11004062659651, 130.5725697826944, 168.51550542031654)"
"([1], [4], [4], [5], [6], [6])","([0], [1], [1], [5], [3], [3])",36.407,"(42.571552043168495, 54.667023537428676, 51.4001629428781, 194.93372790157224, 148.1665135418564, 139.55990307046682)","(24.25484804217359, 154.79385852128166, 177.63173727235542, 74.1925142603051, 133.24563770646137, 167.45340892109533)"
"([1], [4], [4], [5], [6], [6])","([0], [1], [1], [4], [3], [3])",37.107,"(42.33941871706834, 55.0836754932662, 51.76744235841153, 194.95664202555625, 146.58934937197841, 139.67693134677467)","(24.280491876583675, 154.52275932937562, 177.86226712971688, 74.210719619366, 135.7749545092312, 166.3103486058946)"
"([1], [4], [4], [5], [6], [6])","([0], [1], [1], [4], [3], [3])",37.807,"(42.0943059065266, 55.35546899423595, 52.876289423234574, 195.497422731353, 145.96782340164322, 139.73764668639356)","(24.313237145626402, 154.32385491560262, 178.5356056529945, 74.46977879174352, 136.88641246799585, 165.23376732395883)"
"([1], [4], [4], [5], [6], [6])","([0], [1], [1], [4], [3], [3])",38.507,"(41.50112939395294, 55.645360741537445, 53.27565032233902, 195.81126435364803, 145.25168348734678, 139.75599770848075)","(24.46785597103444, 154.10644486480356, 178.78999994789723, 74.64930135392987, 138.28043489181397, 163.57282815184664)"
"([1], [4], [4], [5], [6], [6])","([0], [1], [1], [4], [3], [3])",39.207,"(41.15311689383446, 55.926502188817864, 54.5606926185624, 196.07433523020882, 144.24939320264176, 139.7299201687792)","(24.59665270667869, 153.88927798850506, 179.59741977657487, 74.83367018675985, 140.41379705851864, 162.45333776805947)"
"([1], [4], [4], [5], [6], [6])","([0], [1], [1], [4], [3], [3])",39.907,"(40.854567952680895, 56.660259758645125, 54.78439825611281, 196.66329935579483, 143.24936226720718, 139.69166035381244)","(24.754434640078884, 153.24783436701705, 179.74909806714035, 75.43149180907444, 142.74182595502214, 161.47987735448342)"
"([1], [4], [4], [5], [6], [6])","([0], [1], [1], [4], [3], [3])",40.607,"(40.653342909566575, 56.66984140057919, 55.93809037537602, 197.04667419937894, 143.2493376001459, 139.61471795003555)","(24.894921906344408, 153.22870387339165, 180.52270125303363, 75.87790549229332, 142.73600431958613, 159.66780501958254)"
"([1], [4], [4], [5], [6], [6])","([0], [1], [1], [4], [3], [3])",41.307,"(40.18810142941043, 56.993828307274114, 56.25062448304726, 197.6086969316575, 142.24933789373284, 139.57160577275704)","(25.22619121835784, 152.92044134265512, 180.7377430280884, 76.8304255167759, 145.23313849847236, 157.72272344563515)"
"([0], [3], [3], [4], [5], [5])","([0], [1], [1], [4], [3], [3])",42.007,"(39.88266772661695, 57.598160311151645, 56.841820783766124, 198.051634135656, 141.2492187556135, 139.74763244411733)","(25.509391225917817, 152.24760805727513, 181.137149520692, 77.68126864106924, 147.98721436289108, 154.41394296878613)"
