s,t,x,y
"[(3, 2)]",2721.2,"[[205.53265888495463, 207.72967500556507]]","[[336.5515208369535, 177.31225191604585]]"
"[(3, 2)]",2721.3,"[[205.5615968776183, 207.75944475485323]]","[[336.56896215673515, 177.2938709832073]]"
"[(3, 2)]",2721.4,"[[205.590775984272, 207.3031111298421]]","[[336.5866784363087, 176.96554033147427]]"
"[(3, 2)]",2721.5,"[[205.50600563553147, 207.34962029243223]]","[[336.6813730131893, 176.959207983056]]"
"[(3, 2)]",2721.6,"[[205.0885207625596, 207.39355255710998]]","[[336.9965386746443, 176.95076688626983]]"
"[(3, 2)]",2721.7,"[[205.1309243293832, 207.44070780964006]]","[[337.0051499872254, 176.94391277918416]]"
"[(3, 2)]",2721.8,"[[205.17721641753784, 207.48836593573827]]","[[337.01163293716803, 176.93692621322495]]"
"[(3, 2)]",2721.9,"[[205.22267405828055, 207.5134453170946]]","[[337.0190831859475, 176.91564895115167]]"
"[(3, 2)]",2722.0,"[[205.26953564921064, 207.36892735808053]]","[[337.0260328458952, 176.7909569115807]]"
"[(3, 2)]",2722.1,"[[205.13132052094082, 207.41260754886625]]","[[337.1509760120021, 176.78141494483168]]"
"[(3, 2)]",2722.2,"[[205.17419564159627, 207.28135055364913]]","[[337.16027686621226, 176.6667139298968]]"
"[(3, 2)]",2722.3,"[[205.21551737994685, 207.31070713144152]]","[[337.1709114995578, 176.64872076967242]]"
"[(3, 2)]",2722.4,"[[205.25920846075712, 207.33888370641083]]","[[337.1804086408276, 176.62977725145663]]"
"[(3, 2)]",2722.5,"[[205.1519751643918, 207.34377590045088]]","[[337.2832706235604, 176.5965418531966]]"
"[(3, 2)]",2722.6,"[[205.1824610020649, 207.37518810501916]]","[[337.30087332567956, 176.57813094364417]]"
"[(3, 2)]",2722.7,"[[205.21309568987652, 207.24764003357888]]","[[337.31861987397747, 176.46846914460602]]"
"[(3, 2)]",2722.8,"[[205.24386845942624, 206.87557963867138]]","[[337.3365129877706, 176.22233617193592]]"
"[(3, 2)]",2722.9,"[[204.73963311247667, 206.90394405272252]]","[[337.67306192165057, 176.20434350197644]]"
"[(3, 2)]",2723.0,"[[204.76818027726776, 206.9327617862703]]","[[337.6907122229125, 176.18622618847255]]"
"[(3, 2)]",2723.1,"[[204.7968900659037, 206.9617220685398]]","[[337.7086383369181, 176.16781978339975]]"
"[(3, 2)]",2723.2,"[[204.82549409792887, 206.9868254590766]]","[[337.7269845719752, 176.14695592911988]]"
"[(3, 2)]",2723.3,"[[204.85450544753442, 206.77277929331714]]","[[337.7454449168344, 175.99650225819207]]"
"[(3, 2)]",2723.4,"[[204.883649952678, 206.8074718498839]]","[[337.7641688878709, 175.98096120022808]]"
"[(3, 2)]",2723.5,"[[204.65073438180232, 206.8317502937158]]","[[337.9305201115037, 175.95950404246548]]"
"[(3, 2)]",2723.6,"[[204.6747080559968, 206.85022676907843]]","[[337.9517195145398, 175.93477746023933]]"
"[(3, 2)]",2723.7,"[[204.5313477468365, 206.78396843648065]]","[[338.06643737160425, 175.86439196562588]]"
"[(3, 2)]",2723.8,"[[204.55253477153852, 206.83471672697507]]","[[338.0890377808738, 175.85504712402332]]"
"[(3, 2)]",2723.9,"[[204.59968424947016, 206.88633799862384]]","[[338.0975935475169, 175.84546315105828]]"
"[(3, 2)]",2724.0,"[[204.64732527497733, 206.8221370806991]]","[[338.10630997573713, 175.77671849538712]]"
"[(3, 2)]",2724.1,"[[204.69544610539606, 206.45352598436938]]","[[338.115181998913, 175.5571823148624]]"
"[(3, 2)]",2724.2,"[[204.3188930215338, 206.48390469947506]]","[[338.35071270416677, 175.5386486906819]]"
"[(3, 2)]",2724.3,"[[204.3487336483414, 206.5147418814202]]","[[338.36864797436084, 175.5198930025231]]"
"[(3, 2)]",2724.4,"[[204.37908853292853, 206.5458805453595]]","[[338.3869819625563, 175.50084022642164]]"
"[(3, 2)]",2724.5,"[[204.40962147915886, 206.5750604564525]]","[[338.4056503801873, 175.4804239981603]]"
"[(3, 2)]",2724.6,"[[204.44056663832387, 206.41767846500443]]","[[338.4245296928011, 175.372440497441]]"
"[(3, 2)]",2724.7,"[[204.3135615463037, 206.44176234455503]]","[[338.5230441879122, 175.3499516097077]]"
"[(3, 2)]",2724.8,"[[204.29657429420004, 206.46265136567317]]","[[338.5655608732219, 175.32565021075467]]"
"[(3, 2)]",2724.9,"[[204.3189143800363, 206.44880872182858]]","[[338.5886811776058, 175.28539849432784]]"
"[(3, 2)]",2725.0,"[[203.94422478053798, 206.0722907837877]]","[[338.80433122971937, 175.0839285709052]]"
"[(3, 2)]",2725.1,"[[203.96954046837857, 206.0991820607746]]","[[338.8244423715161, 175.063638873903]]"
"[(3, 2)]",2725.2,"[[203.99892642581415, 206.1267037938855]]","[[338.842970938624, 175.04259477351448]]"
"[(3, 2)]",2725.3,"[[204.02558333560273, 205.91677391547066]]","[[338.86325206316155, 174.91508492910245]]"
"[(3, 2)]",2725.4,"[[203.79034822489982, 205.95106942523378]]","[[339.00607704712814, 174.8966173808099]]"
"[(3, 2)]",2725.5,"[[203.81700806030875, 205.9857726609085]]","[[339.0263285815773, 174.87783944230267]]"
"[(3, 2)]",2725.6,"[[203.84965640592313, 206.02006674246226]]","[[339.044007059331, 174.8582783638594]]"
"[(3, 2)]",2725.7,"[[203.88285976295575, 206.05379868738177]]","[[339.06204670933636, 174.83808792090247]]"
"[(3, 2)]",2725.8,"[[203.91753190098973, 206.01802452369276]]","[[339.0809486341565, 174.7885707585819]]"
"[(3, 2)]",2725.9,"[[203.95261015422062, 206.0433513708525]]","[[339.1001212237115, 174.7646478858701]]"
"[(3, 2)]",2726.0,"[[203.79358899774184, 206.01392086241185]]","[[339.20558970449076, 174.71801301750892]]"
"[(3, 2)]",2726.1,"[[203.84122452680745, 206.03952195982288]]","[[339.21893135757193, 174.69400722580022]]"
"[(3, 2)]",2726.2,"[[203.44547991558602, 205.5849593461022]]","[[339.42335386305155, 174.4801938646643]]"
"[(3, 2)]",2726.3,"[[203.4749299717479, 205.61707829971832]]","[[339.4429036989678, 174.4606186800044]]"
"[(3, 2)]",2726.4,"[[203.5064896938186, 205.64953683981332]]","[[339.4620101987684, 174.44070321561276]]"
"[(3, 2)]",2726.5,"[[203.53715074235984, 205.45940581532992]]","[[339.48194023348276, 174.33663165925705]]"
"[(3, 2)]",2726.6,"[[203.37839730998053, 205.48354911336452]]","[[339.5791774945869, 174.31394745592993]]"
"[(3, 2)]",2726.7,"[[203.39945778664293, 205.5066252480263]]","[[339.60274845406053, 174.29049179570768]]"
"[(3, 2)]",2726.8,"[[203.4235507121135, 205.53127141663882]]","[[339.62545777590753, 174.26723732611887]]"
"[(3, 2)]",2726.9,"[[203.44784699451577, 205.5561344604842]]","[[339.64845087731123, 174.24368612323048]]"
"[(3, 2)]",2727.0,"[[203.4723471140553, 205.58121438167544]]","[[339.67172499775705, 174.219841393321]]"
